#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                           x.out|  5.07e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
# The file file_input_raw was rewound 77 times
      rgb_lagged_sum|   0|   1000000|     100|0.98451936|  PASSED  
# The file file_input_raw was rewound 80 times
      rgb_lagged_sum|   1|   1000000|     100|0.50591001|  PASSED  
# The file file_input_raw was rewound 85 times
      rgb_lagged_sum|   2|   1000000|     100|0.99665160|   WEAK   
# The file file_input_raw was rewound 91 times
      rgb_lagged_sum|   3|   1000000|     100|0.15053409|  PASSED  
# The file file_input_raw was rewound 98 times
      rgb_lagged_sum|   4|   1000000|     100|0.20071009|  PASSED  
# The file file_input_raw was rewound 107 times
      rgb_lagged_sum|   5|   1000000|     100|0.98842039|  PASSED  
# The file file_input_raw was rewound 118 times
      rgb_lagged_sum|   6|   1000000|     100|0.49158828|  PASSED  
# The file file_input_raw was rewound 130 times
      rgb_lagged_sum|   7|   1000000|     100|0.02697944|  PASSED  
# The file file_input_raw was rewound 143 times
      rgb_lagged_sum|   8|   1000000|     100|0.71320460|  PASSED  
# The file file_input_raw was rewound 158 times
      rgb_lagged_sum|   9|   1000000|     100|0.86295612|  PASSED  
# The file file_input_raw was rewound 174 times
      rgb_lagged_sum|  10|   1000000|     100|0.67539722|  PASSED  
# The file file_input_raw was rewound 192 times
      rgb_lagged_sum|  11|   1000000|     100|0.09166629|  PASSED  
# The file file_input_raw was rewound 212 times
      rgb_lagged_sum|  12|   1000000|     100|0.19896619|  PASSED  
# The file file_input_raw was rewound 232 times
      rgb_lagged_sum|  13|   1000000|     100|0.99567352|   WEAK   
# The file file_input_raw was rewound 255 times
      rgb_lagged_sum|  14|   1000000|     100|0.16287258|  PASSED  
# The file file_input_raw was rewound 279 times
      rgb_lagged_sum|  15|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 304 times
      rgb_lagged_sum|  16|   1000000|     100|0.70268828|  PASSED  
# The file file_input_raw was rewound 331 times
      rgb_lagged_sum|  17|   1000000|     100|0.86285132|  PASSED  
# The file file_input_raw was rewound 359 times
      rgb_lagged_sum|  18|   1000000|     100|0.57735958|  PASSED  
# The file file_input_raw was rewound 389 times
      rgb_lagged_sum|  19|   1000000|     100|0.01020889|  PASSED  
# The file file_input_raw was rewound 420 times
      rgb_lagged_sum|  20|   1000000|     100|0.46271606|  PASSED  
# The file file_input_raw was rewound 453 times
      rgb_lagged_sum|  21|   1000000|     100|0.98910411|  PASSED  
# The file file_input_raw was rewound 487 times
      rgb_lagged_sum|  22|   1000000|     100|0.45417953|  PASSED  
# The file file_input_raw was rewound 523 times
      rgb_lagged_sum|  23|   1000000|     100|0.26251594|  PASSED  
# The file file_input_raw was rewound 560 times
      rgb_lagged_sum|  24|   1000000|     100|0.99922338|   WEAK   
# The file file_input_raw was rewound 599 times
      rgb_lagged_sum|  25|   1000000|     100|0.32975431|  PASSED  
# The file file_input_raw was rewound 639 times
      rgb_lagged_sum|  26|   1000000|     100|0.55051019|  PASSED  
# The file file_input_raw was rewound 681 times
      rgb_lagged_sum|  27|   1000000|     100|0.46636968|  PASSED  
# The file file_input_raw was rewound 724 times
      rgb_lagged_sum|  28|   1000000|     100|0.81954496|  PASSED  
# The file file_input_raw was rewound 769 times
      rgb_lagged_sum|  29|   1000000|     100|0.26169892|  PASSED  
# The file file_input_raw was rewound 815 times
      rgb_lagged_sum|  30|   1000000|     100|0.25124911|  PASSED  
